"Keyword","Trends","Impressions"
"family handyman","[89,70,84,67,85,72,91,82,81,75,75,77,76]","1024"
"do it yourself","[90,68,102,78,75,64,107,89,72,48,102,77,63]","1035"
"task rabbits near me","[79,66,76,71,77,76,92,77,68,104,100,99,91]","1076"
"carpenters near me","[97,81,98,90,74,88,103,81,87,99,106,116,85]","1205"
"home repair","[151,67,43,199,56,59,113,90,61,204,59,46,118]","1266"
"handyman services in my area","[83,83,106,87,106,95,115,106,89,107,142,85,87]","1291"
"mr handyman","[104,131,147,149,146,160,156,149,137,167,129,153,109]","1837"
"bamboo handy","[152,165,169,151,177,148,182,181,164,151,126,110,129]","2005"
"handyman services near me","[131,167,211,238,148,162,234,181,186,148,185,183,133]","2307"
"hanks","[200,180,184,217,178,189,192,181,187,168,184,195,177]","2432"
"ace handyman services","[173,187,229,248,180,190,186,201,178,182,240,199,173]","2566"
"handyman services","[180,221,200,231,178,202,213,209,239,232,222,253,266]","2846"
"ace hardware.com","[192,244,222,209,239,238,249,263,251,264,254,265,252]","3142"
"handy","[246,275,245,294,236,267,223,235,262,265,253,271,231]","3303"
"handyman hal","[240,274,265,221,228,279,268,264,314,239,246,243,235]","3316"
"hal","[312,335,344,346,301,338,372,303,385,335,317,300,275]","4263"
"mr cool","[315,387,370,349,352,380,416,385,358,359,331,534,457]","4993"
"watch repair near me","[570,559,540,560,504,528,547,511,571,558,595,569,621]","7233"
"handyman near me","[963,1107,877,988,1026,927,942,1042,987,1007,992,896,845]","12599"
"task rabbit","[1159,1193,1158,1208,1175,1160,1269,1266,1324,1317,1222,1273,1300]","16024"
"diy","[2945,852,3499,3009,2340,928,2744,2411,2153,1427,3632,2158,2181]","30279"
"diy home improvement ideas","[772,294,769,3984,4304,313,803,385,652,4540,17751,3991,7376]","45934"
"yamaha","[3819,3959,2818,3008,3006,3746,3938,4109,3946,3596,3759,3693,3470]","46867"
"supply house","[4722,4540,4755,4612,4411,4305,4469,4389,4250,4154,4318,4267,3690]","56882"
"ace hardware near me","[4872,5036,4636,4848,4947,5497,5950,5747,5567,5615,5460,5872,6441]","70488"
"ace hardware website","[2551,2654,5261,7428,8865,19278,20956,21687,22702,11131,5262,5131,5673]","138579"
"maintenance","[12448,12377,11823,11817,11990,12381,12790,12387,12959,12852,11962,11614,10438]","157838"
"ace hardware","[52841,54664,53656,59463,58085,47545,49158,49131,47924,60310,67930,70024,66951]","737682"
"home depot","[790685,805203,789178,841461,812434,838352,887194,855396,833487,848906,841413,882200,831365]","10857274"
